Day,Time,Lift,Vert Feet
2014-03-28,12:43:27,Eagle Express I,1500
2014-03-28,12:54:37,Eagle Express I,1500
2014-03-28,13:09:36,Eagle Express I,1500
2014-03-28,13:21:10,Eagle Express I,1500
2014-03-28,13:39:43,Eagle Express I,1500
2014-03-28,13:51:06,Eagle Express I,1500
2014-03-28,14:02:23,Eagle Express I,1500
2014-03-28,14:17:30,Eagle Express I,1500
2014-03-28,14:28:07,Eagle Express I,1500
2014-03-28,14:38:28,Eagle Express I,1500
2014-03-28,14:48:35,Eagle Express I,1500
2014-03-28,14:59:55,Eagle Express I,1500
2014-03-30,13:19:37,Moonbeam,675
2014-03-30,13:29:49,Eagle Express I,1500
2014-03-30,13:41:50,Eagle Express I,1500
2014-03-30,13:53:30,Eagle Express I,1500
2014-03-30,14:04:45,Eagle Express I,1500
2014-03-30,14:15:58,Eagle Express I,1500
2014-03-31,10:30:48,Moonbeam,675
2014-03-31,10:37:58,Eagle Express I,1500
2014-03-31,10:48:57,Eagle Express I,1500
2014-03-31,11:03:26,Eagle Express I,1500
2014-03-31,11:15:11,Eagle Express I,1500
2014-03-31,11:26:58,Eagle Express I,1500
2014-03-31,11:38:07,Eagle Express I,1500
2014-03-31,11:49:33,Eagle Express I,1500
2014-03-31,12:00:02,Eagle Express I,1500
2014-04-03,09:28:58,Moonbeam,675
2014-04-03,09:35:45,Eagle Express I,1500
2014-04-03,09:45:14,Eagle Express I,1500
2014-04-03,09:55:51,Eagle Express I,1500
2014-04-03,10:05:38,Eagle Express I,1500
2014-04-03,10:19:14,Eagle Express I,1500
2014-04-03,10:28:49,Eagle Express I,1500
2014-04-03,10:48:00,Eagle Express I,1500
2014-04-03,10:57:49,Eagle Express I,1500
2014-04-03,11:08:04,Eagle Express I,1500
2014-04-03,11:18:07,Eagle Express I,1500
2014-04-04,11:55:44,Moonbeam,675
2014-04-04,12:04:04,Eagle Express I,1500
2014-04-04,12:43:00,Eagle Express I,1500
2014-04-04,12:52:52,Eagle Express I,1500
